title,authors,year,citations,citations.per.yr
Numerical Ecology with R,"Borcard, Daniel; Gillet, Francois; Legendre, Pierre",2011,2535,281.67
Optical Wireless Communications: System and Channel Modelling with MATLAB(R),"Ghassemlooy, Z; Popoola, W; Rajbhandari, S",2013,559,79.86
"Time Series Analysis and Its Applications: With R Examples, Third Edition","Shumway, Robert H.; Stoffer, David S.",2011,349,38.78
Applied Numerical Methods using MATLAB (R),"Yang, WY; Cao, W; Chung, TS; Morris, J",2005,231,15.4
Joint Models for Longitudinal and Time-to-Event Data: With Applications in R,"Rizopoulos, D",2012,186,23.25
Modern Statistical Methods for Astronomy: With R Applications,"Feigelson, ED; Babu, GJ",2012,181,22.63
Chemometrics with R: Multivariate Data Analysis in the Natural Sciences and Life Sciences,"Wehrens, Ron",2011,141,15.67
Data Mining with Rattle and R: The Art of Excavationg Data for Knowledge Discovery,"Williams, Graham",2011,133,14.78
"Benchmarking with DEA, SFA, and R","Bogetoft, Peter; Otto, Lars",2011,131,14.56
Functional and Phylogenetic Ecology in R,"Swenson, NG",2014,110,18.33
Interactive and Dynamic Graphics for Data Analysis: With R and Ggobi,"Cook, D; Swayne, DF",2007,110,8.46
Introduction to Applied Multivariate Analysis with R,"Everitt, Brian; Hothorn, Torsten",2011,108,12
Linear Mixed-Effects Models Using R: A Step-by-Step Approach,"Galecki, A; Burzykowski, T",2013,103,14.71
Spatial and Spatio-Temporal Bayesian Models with R-INLA,"Blangiardo, M; Cameletti, M",2015,98,19.6
Persistence Pays: U.S. Agricultural Productivity Growth and the Benefits from Public R&D Spending,"Alston, JM; Andersen, MA; James, JS; Pardey, PG",2010,97,9.7
Introduction to Statistical Learning: With Applications in R,"James, G; Witten, D; Hastie, T; Tibshirani, R",2013,89,12.71
"Maximum Likelihood Estimation and Inference: With Examples in R, SAS and ADMB","Millar, RB",2011,88,9.78
"Handbook of Statistical Analyses Using R, 2nd Edition","Everitt, BS; Hothorn, T",2010,68,6.8
Multilevel Modeling Using R,"Finch, WH; Bolin, JE; Kelley, K",2014,47,7.83
Graphical Models with R,"Hojsgaard, S; Edwards, D; Lauritzen, S",2012,43,5.38
American Herbal Pharmacopoeia(R): Botanical Pharmacognosy - Microscopic Characterization of Botanical Medicines,,2011,43,4.78
Feminism and the Women's Movement in Malaysia - An Unsung (R)evolution,"Ng, C; Mohamad, M; Hui, TB",2006,43,3.07
"MATLAB(R) Recipes for Earth Sciences, Third Edition","Trauth, MH",2010,41,4.1
China and Orientalism: Western Knowledge Production and the P.R.C.,"Vukovich, DF",2012,38,4.75
"Kalman Filtering: Theory and Practice Using MATLAB(R), 4th Edition","Grewal, MS; Andrews, AP",2015,37,7.4
"Robust Control Design with MATLAB(R), 2nd Edition","Gu, DW; Petkov, PH; Konstantinov, MM",2013,37,5.29
Multivariate Generalized Linear Mixed Models Using R,"Berridge, DM; Crouchley, R",2011,31,3.44
Design and Analysis of Gauge R&R Studies: Making Decisions with Confidence Intervals in Random and Mixed ANOVA Models,"Burdick, RK; Borror, CM; Montgomery, DC",2005,31,2.07
Data Mining and Business Analytics with R,"Ledolter, J",2013,30,4.29
Automated Data Collection with R: A Practical Guide to Web Scraping and Text Mining,"Munzert, S; Rubba, C; Meissner, P; Nyhuis, D",2015,28,5.6
Knowledge Sharing among Scientists: Why Reputation Matters for R&D in Multinational Firms,"Ensign, PC",2009,26,2.36
Data Mining Using SAS(R) Enterprise Miner(TM),"Matignon, R",2007,24,1.85
Urbane Revolutionary: C. L. R. James and the Struggle for a New Society,"Rosengarten, F",2008,23,1.92
"Advanced Electric Drives: Analysis, Control, and Modeling Using MATLAB/Simulink(R)","Mohan, N",2014,22,3.67
History Man: The Life of R. G. Collingwood,"Inglis, F",2009,22,2
Intellectual Property Management in R&D Collaborations: The Case of the Service Industry Sector,"Bader, MA",2006,22,1.57
Traveling Wave Analysis of Partial Differential Equations: Numerical and Analytical Methods with MATLAB (R) and Maple (TM),"Griffiths, GW; Schiesser, WE",2012,20,2.5
Pratical Guide to Error-Control Coding Using MATLAB(R),"Jiang, Y",2010,20,2
Nonparametric Hypothesis Testing: Rank and Permutation Methods with Applications in R,"Bonnini, S; Corain, L; Marozzi, M; Salmaso, L",2014,19,3.17
Clinical Trial Data Analysis Using R,"Chen, DG; Peace, KE",2011,19,2.11
"LEED (R) Practices, Certification, and Accreditation Handbook","Kubba, S",2010,19,1.9
Modern Optimization with R,"Cortez, P",2014,18,3
Image Processing: Tensor Transform and Discrete Tomography with MATLAB(R),"Grigoryan, AM; Grigoryan, MM",2013,18,2.57
Optimal Experimental Design with R,"Rasch, D; Pilz, J; Verdooren, R; Gebhardt, A",2011,15,1.67
"Geometry of Mobius Transformations:: Elliptic, Parabolic and Hyperbolic Actions of SL2(R) (with DVD-ROM)","Kisil, VV",2012,14,1.75
Forest Analytics withh R: An Introduction,"Robinson, Andrew P.; Hamann, Jeff D.",2011,14,1.56
Matlab (R) for Neuroscientists: An Introduction to Scientific Computing in Matlab (R),"Wallisch, P; Lusignan, M; Benayoun, M; Baker, TI; Dickey, AS; Hatsopoulos, NG",2009,14,1.27
Internationalisation of Business R&D,,2014,11,1.83
"Adaptive Design Theory and Implementation Using SAS and R, 2nd Edition","Chang, M",2014,11,1.83
Community Ecology: Analytical Methods Using R and Excel,"Gardener, M",2014,11,1.83
Christian Reconstruction: R. J. Rushdoony and American Religious Conservatism,"McVicar, MJ",2015,10,2
XML and Web Technologies for Data Sciences with R,"Nolan, D; Lang, DT",2014,10,1.67
"Analysis of Phylogenetics and Evolution with R, Second Edition","Paradis, E",2012,9,1.13
Complete PCB Design Using OrCAD (R) Capture and PCB Editor,"Mitzner, K",2009,9,0.82
Statistics for Linguistics with R: A Practical Introduction,"Gries, ST",2009,9,0.82
"Rethinking Race, Politics, and Poetics: C L R James Critique of Modernity","StLouis, B",2007,9,0.69
"Ents, Elves, and Eriador: The Environmental Vision of J. R. R. Tolkien","Dickerson, M; Evans, J",2006,9,0.64
Using R for Digital Soil Mapping,"Malone, BP; Minasny, B; McBratney, AB",2017,8,2.67
Rethinking R.G. Collingwood,"Browning, GK",2004,8,0.5
Graphical Data Analysis with R,"Unwin, A",2015,7,1.4
Nonlinear Parameter Optimization Using R Tools,"Nash, JC",2014,7,1.17
Biostatistics with R: An Introduction to Statistics Through Biological Data,"Shahbaba, B",2012,7,0.88
Ultra-Fast Fiber Lasers: Principles and Applications with MATLAB(R) Models,"Binh, LN; Ngo, NQ",2011,7,0.78
C L R James and the Study of Culture,"Smith, A",2010,7,0.7
Chomskyan (R)evolutions,,2010,7,0.7
R for Stata Users,"Muenchen, RA; Hilbe, JM",2010,7,0.7
Caribbean Visionary: A. R. F. Webber and the Making of the Guyanese Nation,"Cudjoe, SR",2009,7,0.64
Statistical Hypothesis Testing with SAS and R,"Taeger, D; Kuhnt, S",2014,6,1
"Four Philosophical Anglicans: W. G. De Burgh, W. R. Matthews, O. C. Quick, H. A. Hodges","Sell, APF",2010,6,0.6
Culture in Translation: The Anthropological Legacy of R. H. Mathews,,2007,6,0.46
Drawing the Boundaries of Meaning: Neo-Gricean Studies in Pragmatics and Semantics in Honor of Laurence R. Horn,,2006,6,0.43
Keys of Middle-Earth: Discovering Medieval Literature through the Fiction of J. R. R. Tolkien,"Lee, SD; Solopova, E",2005,6,0.4
Basics of Item Response Theory Using R,"Baker, FB; Kim, SH",2017,5,1.67
